handle,category,source_url,note
spolsky,tech_leadership,https://twitter.com/spolsky,Joel Spolsky (Stack Overflow co-founder)
jeffatwood,tech_leadership,https://twitter.com/jeffatwood,Jeff Atwood (Stack Overflow co-founder)
martinfowler,tech_leadership,https://twitter.com/martinfowler,Martin Fowler (Software architecture)
unclebobmartin,tech_leadership,https://twitter.com/unclebobmartin,Robert C. Martin (Clean Code)
grahampaul,tech_leadership,https://twitter.com/grahampaul,Paul Graham (Y Combinator)
sivers,tech_leadership,https://twitter.com/sivers,Derek Sivers (CD Baby founder)
pg,tech_leadership,https://twitter.com/pg,Paul Graham (duplicate)
naval,tech_leadership,https://twitter.com/naval,Naval Ravikant (duplicate)
dhh,tech_leadership,https://twitter.com/dhh,DHH (Basecamp/Rails)
jasonfried,tech_leadership,https://twitter.com/jasonfried,Jason Fried (Basecamp)
sahilloup,ai_research,https://twitter.com/sahilloup,Sahil Loup (AI researcher)
fchollet,ai_research,https://twitter.com/fchollet,François Chollet (Keras, duplicate)
goodfellow_ian,ai_research,https://twitter.com/goodfellow_ian,Ian Goodfellow (GANs inventor, duplicate)
hardmaru,ai_research,https://twitter.com/hardmaru,Google Brain researcher (duplicate)
dair_ai,ai_research,https://twitter.com/dair_ai,DAIR.AI (org, will be filtered)
chx,ai_research,https://twitter.com/chx,AI researcher
hardmaru,ai_research,https://twitter.com/hardmaru,Google Brain (duplicate)
ylecun,ai_research,https://twitter.com/ylecun,Yann LeCun (duplicate)
AndrewYNg,ai_research,https://twitter.com/AndrewYNg,Andrew Ng (duplicate)
