handle,category,source_url,note
martin_cleaver,tech_leadership,https://twitter.com/martin_cleaver,Enterprise systems expert
csnively,tech_leadership,https://twitter.com/csnively,Cloud infrastructure expert
bendytree,tech_leadership,https://twitter.com/bendytree,Software engineer
lornajane,tech_leadership,https://twitter.com/lornajane,Developer advocate and API expert
nayafia,tech_leadership,https://twitter.com/nayafia,Nadia Eghbal (Open Source)
addyosmani,tech_leadership,https://twitter.com/addyosmani,Chrome engineer and author
gaearon,tech_leadership,https://twitter.com/gaearon,Dan Abramov (React core)
samselikoff,tech_leadership,https://twitter.com/samselikoff,Ember.js and React Native
sebmck,tech_leadership,https://twitter.com/sebmck,Babel.js creator
henryzhu,tech_leadership,https://twitter.com/henryzhu,Storybook creator
rmurphey,tech_leadership,https://twitter.com/rmurphey,JavaScript expert
shanselman,tech_leadership,https://twitter.com/shanselman,Scott Hanselman (.NET)
