handle,category,source_url,note
andrewygng,ai_research,https://twitter.com/andrewygng,AI/ML researcher & educator
adcock_brett,ai_research,https://twitter.com/adcock_brett,ML researcher
ilyasut,ai_research,https://twitter.com/ilyasut,OpenAI co-founder & Chief Scientist
percyliang,ai_research,https://twitter.com/percyliang,Stanford NLP professor
AravSrinivas,ai_research,https://twitter.com/AravSrinivas,Perplexity AI CEO
_jasonwei,ai_research,https://twitter.com/_jasonwei,OpenAI researcher
emilymbender,ai_research,https://twitter.com/emilymbender,UW computational linguist
tdietterich,ai_research,https://twitter.com/tdietterich,AI safety researcher
yudapearl,ai_research,https://twitter.com/yudapearl,Causality & AI researcher
joschu,ai_research,https://twitter.com/joschu,OpenAI researcher
jmschreiber91,ml_engineering,https://twitter.com/jmschreiber91,ML infrastructure engineer
AllenDowney,ai_research,https://twitter.com/AllenDowney,Professor & author
jakevdp,ml_engineering,https://twitter.com/jakevdp,Software engineer at Google
josh_wills,tech_content,https://twitter.com/josh_wills,Data science & ML
ylecun,ai_research,https://twitter.com/ylecun,Meta Chief AI Scientist - Turing Award
