handle,category,source_url,note
VitalikButerin,blockchain,https://twitter.com/VitalikButerin,Ethereum co-founder
neerajka,tech_leadership,https://twitter.com/neerajka,Google VP Engineering AI/ML
TivadarDanka,ml_content,https://twitter.com/TivadarDanka,Math/ML educator
cwodtke,tech_leadership,https://twitter.com/cwodtke,Christina Wodtke (product/design)
rakyll,devops,https://twitter.com/rakyll,Jaana Dogan (observability)
mipsytipsy,devops,https://twitter.com/mipsytipsy,Charity Majors (Honeycomb)
copyconstruct,devops,https://twitter.com/copyconstruct,Cindy Sridharan (distributed systems)
adriancolyer,tech_content,https://twitter.com/adriancolyer,Adrian Colyer (The Morning Paper)
GergelyOrosz,tech_content,https://twitter.com/GergelyOrosz,Pragmatic Engineer
brendangregg,tech_content,https://twitter.com/brendangregg,Brendan Gregg (performance engineering)
casidoo,tech_content,https://twitter.com/casidoo,Frontend/React educator
davidashley,tech_content,https://twitter.com/davidashley,Google Chrome engineer
addyosmani,tech_content,https://twitter.com/addyosmani,Chrome engineer and author
suzhang_microsoft,tech_leadership,https://twitter.com/suzhang_microsoft,Microsoft VP Engineering
leighachandran,tech_leadership,https://twitter.com/leighachandran,LinkedIn VP Engineering
swyx,tech_content,https://twitter.com/swyx,AI researcher and educator
