handle,category,source_url,note
APompliano,business_crypto,https://twitter.com/APompliano,Anthony Pompliano - crypto investor
Austen,business_edtech,https://twitter.com/Austen,BloomTech founder - education startup
BillAckman,business_investing,https://twitter.com/BillAckman,Bill Ackman - Pershing Square CEO
CathieDWood,business_investing,https://twitter.com/CathieDWood,Cathie Wood - ARK Invest CEO
LynAldenContact,business_macro,https://twitter.com/LynAldenContact,Lyn Alden - macro economist
RaoulGMI,business_macro,https://twitter.com/RaoulGMI,Raoul Pal - Real Vision founder
RayDalio,business_investing,https://twitter.com/RayDalio,Ray Dalio - Bridgewater Associates founder
ShaanVP,business_entrepreneurship,https://twitter.com/ShaanVP,My First Million podcast - entrepreneur
TurnerNovak,business_tech_investing,https://twitter.com/TurnerNovak,Gelt VC - early stage investor
aarthir,business_tech_investing,https://twitter.com/aarthir,Web3 Ventures founder
andrewchen,business_tech_investing,https://twitter.com/andrewchen,Andreessen Horowitz partner
benthompson,business_media,https://twitter.com/benthompson,Stratechery newsletter
bgurley,business_tech_investing,https://twitter.com/bgurley,Bill Gurley - Benchmark Capital
byrnehobart,business_tech_investing,https://twitter.com/byrnehobart,Byrne Hobart - financial writer
cburniske,business_crypto,https://twitter.com/cburniske,Chris Burniske - crypto investor
dharmesh,business_tech,https://twitter.com/dharmesh,Dharmesh Shah - HubSpot co-founder
dwr,business_entrepreneurship,https://twitter.com/dwr,David Rosenberg - Contrarian Capital
eladgil,business_tech_investing,https://twitter.com/eladgil,Elad Gil - investor and advisor
eriktorenberg,business_media,https://twitter.com/eriktorenberg,Turpentine Media - tech podcasts
ezraklein,business_media,https://twitter.com/ezraklein,Ezra Klein - journalist and commentator
