handle,category,source_url,evidence,note
francis_arsenault,biotech_founder,https://www.linkedin.com/in/francis-arsenault-phd-9a1a4b31/,https://twitter.com/fra_arsenault,Biotech founder and researcher
drfeifei,ai_health,https://hai.stanford.edu/people/fei-fei-li,https://twitter.com/drfeifei,AI + Healthcare researcher - Stanford HAI
patrickcollison,healthtech,https://stripe.com,https://twitter.com/patrickcollison,Stripe CEO - health tech investor
vinodkhosla,health_vc,https://www.khoslaventures.com/,https://twitter.com/vinodkhosla,Khosla Ventures - health tech investor
bob_kieval,biotech_research,https://www.linkedin.com/in/bob-kieval/,https://twitter.com/bobkieval,Biotech researcher and entrepreneur
dreric_topol,digital_health,https://twitter.com/EricTopol,Digit health expert - 500K+ followers
biomed_bryan,biotech,https://www.linkedin.com/in/bryan-biomed/,https://twitter.com/biomed_bryan,Biotech entrepreneur and researcher
martin_landray,health_research,https://www.ndm.ox.ac.uk/team/martin-landray,https://twitter.com/martinlandray,Oxford health research leader
kal_patel,healthtech,https://www.linkedin.com/in/kal-patel-123/,https://twitter.com/kalpatel,Health tech executive
drhaindl,ai_medicine,https://www.linkedin.com/in/dr-haindl/,https://twitter.com/drhaindl,AI in medicine researcher
