handle,category,source_url,evidence,note
garyvee,business_mentor,https://www.garyvaynerchuk.com/,https://twitter.com/garyvee,Gary Vaynerchuk - Entrepreneur and author
melrobbins,business_coach,https://www.melrobbins.com/,https://twitter.com/melrobbins,Mel Robbins - Motivational speaker and coach
timferris,business_author,https://tim.blog/,https://twitter.com/tferriss,Tim Ferriss - Author and podcaster
lewishowes,business_podcast,https://www.thegaryvee.com/,https://twitter.com/LewisHowes,Lewis Howes - School of Greatness podcast
gary_vaynerchuk,business_investor,https://vaynermedia.com/,https://twitter.com/garyvaynerchuk,Gary Vaynerchuk - VaynerMedia CEO
jim_carry,business_coach,https://www.carriedaily.com/,https://twitter.com/JimCarrey,Jim Carrey - Actor and motivational speaker
russell_brunson,business_sales,https://russellbrunson.com/,https://twitter.com/russellbrunson,Russell Brunson - ClickFunnels founder
danlok,business_sales,https://danlok.com/,https://twitter.com/danlok,Dan Lok - High-ticket sales expert
brendon_burchard,business_coach,https://brendonburchard.com/,https://twitter.com/brendonburchard,Brendon Burchard - High performance coach
grant_cardone,business_sales,https://cardone.com/,https://twitter.com/GrantCardOne,Grant Cardone - Sales expert and author
