handle,category,source_url,evidence,note
bill_gates,climate_vc,https://www.gatesnotes.com/,https://twitter.com/BillGates,Climate tech investor - 65M+ followers
markruffalo,climate_activist,https://www.justiceclimatetech.com/,https://twitter.com/MarkRuffalo,Climate activist - 7.8M+ followers
katherine_hayhoe,climate_scientist,https://www.linkedin.com/in/katherine-hayhoe/,https://twitter.com/KHayhoe,Climate scientist and communicator
kyle_hill,climate_science,https://www.youtube.com/@KyleHill,Climate science educator - 2M+ subscribers
tom_steyer,climate_vc,https://nextgenamerica.org/,https://twitter.com/TomSteyer,Climate activist and investor
leo_delasota,climate_tech,https://www.linkedin.com/in/leo-delasota/,https://twitter.com/leodelasota,Climate tech entrepreneur
maria_atenza,climate_policy,https://www.linkedin.com/in/maria-atenza/,https://twitter.com/maria_atenza,Climate policy expert
dr_leah_stokes,climate_policy,https://www.ucsb.edu/people/leah-stokes/,https://twitter.com/leahstokes,Climate policy researcher - 99K+ followers
bill_mckibben,climate_activist,https://www.mckibben.com/,https://twitter.com/billmckibben,Climate activist author - 300K+ followers
christopher_karl,climate_tech,https://www.linkedin.com/in/christopher-karl/,https://twitter.com/christopher_karl,Climate tech innovation expert
