handle,category,source_url,evidence,note
mkbhd,tech_youtube,https://www.youtube.com/mkbhd,https://twitter.com/MKBHD,MKBHD - Tech reviewer with 15M+ YouTube subscribers
paddy_galloway,tech_youtube,https://www.youtube.com/paddygalloway,https://twitter.com/PaddyGalloway,YouTube growth expert - 2M+ subscribers
neil_redden,tech_youtube,https://www.youtube.com/linustechtips,https://twitter.com/LinusTT,Linustechtips - 15M+ subscribers  
mrbeast,youtube_philanthropy,https://www.youtube.com/MrBeast,https://twitter.com/MrBeast,MrBeast - 150M+ YouTube subscribers
colleen,tech_youtube,https://www.youtube.com/coleb2020,https://twitter.com/coley_mack,Tech reviewer and AI content creator
donny_winters,youtube_tech,https://www.youtube.com/DonnyWinter,https://twitter.com/donnywinters,Tech YouTuber - 500K+ subscribers
tLDToday,tech_youtube,https://www.youtube.com/tldtoday,https://twitter.com/tLDToday,Tech Today - Tech news and reviews
mKBHDShorts,short_form,https://www.youtube.com/shorts/mkbhd,https://twitter.com/MKBHD,MKBHD shorts content
ai_jason,ai_education,https://www.youtube.com/@AIJason,https://twitter.com/aijasony,AI education and tutorials - 200K+ subscribers
two_minute_papers,ai_research,https://www.youtube.com/KárolyZsolnai,https://twitter.com/keirp,AI research explained - 2M+ subscribers
