handle,category,source,note
tobi,tech_entrepreneur,Shopify,Shopify founder (Canada)
harley,tech_ceo,Shopify,Shopify CEO (Canada)
mike,tech_entrepreneur,BlackBerry,BlackBerry co-founder (Canada)
jim,tech_ceo,BlackBerry,BlackBerry former CEO (Canada)
david,tech_entrepreneur,OpenText,OpenText founder (Canada)
mark,tech_ceo,OpenText,OpenText CEO (Canada)
john,tech_entrepreneur,Magna,Magna founder (Canada)
don,tech_ceo,Magna,Magna CEO (Canada)
pierre,tech_entrepreneur,CGI,CGI founder (Canada)
serge,tech_ceo,CGI,CGI CEO (Canada)
charles,tech_entrepreneur,BCE,BCE founder (Canada)
mirko,tech_ceo,BCE,BCE CEO (Canada)
clement,tech_entrepreneur,Constellation Software,Constellation Software founder (Canada)
mark,tech_ceo,Constellation Software,Constellation Software CEO (Canada)
gordon,tech_entrepreneur,Brookfield,Brookfield founder (Canada)
bruce,tech_ceo,Brookfield,Brookfield CEO (Canada)
alain,tech_entrepreneur,Couche-Tard,Couche-Tard founder (Canada)
brian,tech_ceo,Couche-Tard,Couche-Tard CEO (Canada)
david,tech_entrepreneur,Loblaw,Loblaw founder (Canada)
galen,tech_ceo,Loblaw,Loblaw CEO (Canada)
wayne,tech_entrepreneur,Onex,Onex founder (Canada)
gerald,tech_ceo,Onex,Onex CEO (Canada)
james,tech_entrepreneur,Fairfax,Financial founder (Canada)
prem,tech_ceo,Fairfax,Financial CEO (Canada)
murray,tech_entrepreneur,McCain,McCain Foods founder (Canada)
dayle,tech_ceo,McCain,McCain Foods CEO (Canada)
harrison,tech_entrepreneur,Barrick Gold,Barrick Gold founder (Canada)
mark,tech_ceo,Barrick Gold,Barrick Gold CEO (Canada)
john,tech_entrepreneur,Suncor,Suncor founder (Canada)
mark,tech_ceo,Suncor,Suncor CEO (Canada)
david,tech_entrepreneur,Enbridge,Enbridge founder (Canada)
al,tech_ceo,Enbridge,Enbridge CEO (Canada)
steve,tech_entrepreneur,Canadian National,Canadian National founder (Canada)
tracy,tech_ceo,Canadian National,Canadian National CEO (Canada)
michael,tech_entrepreneur,Rogers,Rogers founder (Canada)
joe,tech_ceo,Rogers,Rogers CEO (Canada)
peter,tech_entrepreneur,BCE,BCE founder (Canada)
mirko,tech_ceo,BCE,BCE CEO (Canada)
robert,tech_entrepreneur,Telus,Telus founder (Canada)
darren,tech_ceo,Telus,Telus CEO (Canada)
paul,tech_entrepreneur,Bank of Montreal,Bank of Montreal founder (Canada)
darryl,tech_ceo,Bank of Montreal,Bank of Montreal CEO (Canada)
brian,tech_entrepreneur,Royal Bank,Royal Bank founder (Canada)
dave,tech_ceo,Royal Bank,Royal Bank CEO (Canada)
victor,tech_entrepreneur,TD Bank,TD Bank founder (Canada)
bharat,tech_ceo,TD Bank,TD Bank CEO (Canada)
ian,tech_entrepreneur,CIBC,CIBC founder (Canada)
victor,tech_ceo,CIBC,CIBC CEO (Canada)
