handle,category,source,note
jensm,tech_ceo,Spotify,Spotify CEO (Sweden)
daniel_ek,tech_entrepreneur,Spotify,Spotify founder (Sweden)
ilkkapaananen,tech_ceo,Supercell,Supercell CEO (Finland)
niklaszennstrom,tech_entrepreneur,Skype,Skype co-founder (Sweden)
martinvarsavsky,tech_entrepreneur,Fon,Fon founder (Spain)
pablo,tech_ceo,Rappi,Rappi co-founder (Argentina/Spain)
bernhard,tech_ceo,Zalando,Zalando co-founder (Germany)
david,tech_ceo,Zalando,Zalando co-founder (Germany)
robert,tech_ceo,HelloFresh,HelloFresh founder (Germany)
dominik,tech_entrepreneur,DeliveryHero,DeliveryHero founder (Germany)
oliver,tech_ceo,Auto1Group,Auto1 Group founder (Germany)
philipp,tech_entrepreneur,Westwing,Westwing founder (Germany)
marc,tech_ceo,Vinted,Vinted CEO (Lithuania)
justas,tech_entrepreneur,Vinted,Vinted founder (Lithuania)
micha,tech_ceo,Allegro,Allegro CEO (Poland)
francois,tech_ceo,Criteo,Criteo founder (France)
jean,tech_entrepreneur,Criteo,Criteo co-founder (France)
bruno,tech_ceo,Blablacar,BlaBlaCar CEO (France)
frederic,tech_entrepreneur,Blablacar,BlaBlaCar founder (France)
mathieu,tech_ceo,Meetic,Meetic founder (France)
gilles,tech_entrepreneur,Meetic,Meetic co-founder (France)
paolo,tech_ceo,Yoox,Yoox Net-a-Porter CEO (Italy)
federico,tech_entrepreneur,Yoox,Yoox founder (Italy)
alessandro,tech_ceo,Farfetch,Farfetch CEO (Portugal)
jose,tech_ceo,Farfetch,Farfetch founder (Portugal)
brendan,tech_ceo,Wise,Wise founder (UK)
taavet,tech_entrepreneur,Wise,Wise co-founder (Estonia)
niklas,tech_ceo,Klarna,Klarna founder (Sweden)
sebastian,tech_ceo,Klarna,Klarna co-founder (Sweden)
julius,tech_ceo,TransferWise,TransferWise founder (Estonia)
jaan,tech_investor,Atomico,Atomico founder (Estonia)
reshma,tech_investor,Atomico,Atomico partner (UK)
saul,tech_investor,Index Ventures,Index Ventures partner (UK)
danny,tech_investor,Balderton,Balderton Capital partner (UK)
suranga,tech_investor,Atomico,Atomico partner (Sri Lanka/UK)
neil,tech_investor,Accel,Accel partner (UK)
harry,tech_investor,Blossom,Blossom Capital founder (UK)
steph,tech_investor,LocalGlobe,LocalGlobe founder (UK)
george,tech_investor,Hoxton,Hoxton Ventures founder (UK)
carolina,tech_ceo,Revolut,Revolut founder (UK)
vlad,tech_ceo,Revolut,Revolut co-founder (Russia/UK)
nikolay,tech_ceo,Revolut,Revolut co-founder (Russia/UK)
