handle,category,source,note
kunal,tech_entrepreneur,Snapdeal,Snapdeal founder (India)
rohit,tech_ceo,Snapdeal,Snapdeal CEO (India)
vijay,tech_entrepreneur,Flipkart,Flipkart founder (India)
kalyan,tech_ceo,Flipkart,Flipkart CEO (India)
binny,tech_entrepreneur,Flipkart,Flipkart founder (India)
sachin,tech_entrepreneur,Flipkart,Flipkart founder (India)
mukesh,tech_entrepreneur,Reliance Jio,Reliance Jio founder (India)
akash,tech_ceo,Reliance Jio,Reliance Jio CEO (India)
byju,tech_entrepreneur,Byju's,Byju's founder (India)
raveendran,tech_ceo,Byju's,Byju's CEO (India)
vijay,tech_entrepreneur,OYO,OYO founder (India)
ritesh,tech_ceo,OYO,OYO CEO (India)
deepinder,tech_entrepreneur,Zomato,Zomato founder (India)
goyal,tech_ceo,Zomato,Zomato CEO (India)
bhavish,tech_entrepreneur,Ola,Ola founder (India)
anand,tech_ceo,Ola,Ola CEO (India)
ashish,tech_entrepreneur,PolicyBazaar,PolicyBazaar founder (India)
yashish,tech_ceo,PolicyBazaar,PolicyBazaar CEO (India)
vijay,tech_entrepreneur,Paytm,Paytm founder (India)
vijay,tech_ceo,Paytm,Paytm CEO (India)
kalyan,tech_entrepreneur,Swiggy,Swiggy founder (India)
sriharsha,tech_ceo,Swiggy,Swiggy CEO (India)
naveen,tech_entrepreneur,InMobi,InMobi founder (India)
tewari,tech_ceo,InMobi,InMobi CEO (India)
phanindra,tech_entrepreneur,RedBus,RedBus founder (India)
sama,tech_ceo,RedBus,RedBus CEO (India)
sanjay,tech_entrepreneur,Naukri,Naukri founder (India)
hitesh,tech_ceo,Naukri,Naukri CEO (India)
vivek,tech_entrepreneur,MakeMyTrip,MakeMyTrip founder (India)
kalra,tech_ceo,MakeMyTrip,MakeMyTrip CEO (India)
dinesh,tech_entrepreneur,Info Edge,Info Edge founder (India)
agarwal,tech_ceo,Info Edge,Info Edge CEO (India)
sameer,tech_entrepreneur,JustDial,JustDial founder (India)
vass,tech_ceo,JustDial,JustDial CEO (India)
ramesh,tech_entrepreneur,Matrimony,Matrimony founder (India)
murugavel,tech_ceo,Matrimony,Matrimony CEO (India)
ganesh,tech_entrepreneur,BigBasket,BigBasket founder (India)
hari,tech_ceo,BigBasket,BigBasket CEO (India)
sridhar,tech_entrepreneur,Axis Bank,Axis Bank digital lead (India)
shikha,tech_ceo,Axis Bank,Axis Bank CEO (India)
sanjiv,tech_entrepreneur,HDFC Bank,HDFC Bank digital lead (India)
sashidhar,tech_ceo,HDFC Bank,HDFC Bank CEO (India)
rajeev,tech_entrepreneur,ICICI Bank,ICICI Bank digital lead (India)
chanda,tech_ceo,ICICI Bank,ICICI Bank CEO (India)
binny,tech_entrepreneur,Myntra,Myntra founder (India)
vineet,tech_ceo,Myntra,Myntra CEO (India)
prashanth,tech_entrepreneur,Lenskart,Lenskart founder (India)
peyush,tech_ceo,Lenskart,Lenskart CEO (India)
kishore,tech_entrepreneur,Bicon,Biome founder (India)
ganesh,tech_ceo,Biome,Biome CEO (India)
