handle,category,source,note
david,tech_ceo,Nubank,Nubank founder (Brazil)
cristina,tech_ceo,Nubank,Nubank co-founder (Brazil)
eduardo,tech_entrepreneur,99,99 founder (Brazil)
miguel,tech_ceo,iFood,iFood founder (Brazil)
felipe,tech_entrepreneur,iFood,iFood co-founder (Brazil)
gustavo,tech_ceo,StoneCo,StoneCo founder (Brazil)
andre,tech_entrepreneur,StoneCo,StoneCo co-founder (Brazil)
pedro,tech_ceo,Loft,Loft founder (Brazil)
mate,tech_entrepreneur,Loft,Loft co-founder (Argentina)
francisco,tech_ceo,MercadoLibre,MercadoLibre founder (Argentina)
marcos,tech_entrepreneur,MercadoLibre,MercadoLibre co-founder (Argentina)
nicolas,tech_ceo,Rappi,Rappi founder (Colombia)
simon,tech_entrepreneur,Rappi,Rappi co-founder (Colombia)
sebastian,tech_ceo,Kavak,Kavak founder (Argentina)
roger,tech_entrepreneur,Kavak,Kavak co-founder (Mexico)
luis,tech_ceo,Clip,Clip founder (Mexico)
adrian,tech_entrepreneur,Clip,Clip co-founder (Mexico)
pablo,tech_ceo,Cornershop,Cornershop founder (Chile)
daniel,tech_entrepreneur,Cornershop,Cornershop co-founder (Chile)
benjamin,tech_ceo,OLX,OLX founder (Argentina)
martin,tech_entrepreneur,OLX,OLX co-founder (Brazil)
rodrigo,tech_ceo,Hotmart,Hotmart founder (Brazil)
mateus,tech_entrepreneur,Hotmart,Hotmart co-founder (Brazil)
ricardo,tech_ceo,Loggi,Loggi founder (Brazil)
felipe,tech_entrepreneur,Loggi,Loggi co-founder (Brazil)
gustavo,tech_ceo,Movile,Movile founder (Brazil)
eduardo,tech_entrepreneur,Movile,Movile co-founder (Brazil)
