handle,category,source,note
grab,tech_entrepreneur,Grab,Grab co-founder (Malaysia)
anthony,tech_ceo,Grab,Grab CEO (Malaysia)
chew,tech_entrepreneur,Razer,Razer founder (Singapore)
fernando,tech_entrepreneur,Sea Ltd,Sea Ltd founder (Singapore)
forrest,tech_ceo,Sea Ltd,Sea Ltd CEO (Singapore)
nick,tech_entrepreneur,Traveloka,Traveloka co-founder (Indonesia)
derianto,tech_ceo,Traveloka,Traveloka CEO (Indonesia)
albert,tech_entrepreneur,Bukalapak,Bukalapak founder (Indonesia)
achmad,tech_ceo,Bukalapak,Bukalapak CEO (Indonesia)
william,tech_entrepreneur,OVO,OVO founder (Indonesia)
jason,tech_ceo,OVO,OVO CEO (Indonesia)
andrew,tech_entrepreneur,Voyager Innovations,Voyager Innovations founder (Philippines)
orlando,tech_ceo,Voyager Innovations,Voyager Innovations CEO (Philippines)
dennis,tech_entrepreneur,Mynt,Mynt founder (Philippines)
thomas,tech_ceo,Mynt,Mynt CEO (Philippines)
nguyen,tech_entrepreneur,Tiki,Tiki founder (Vietnam)
tran,tech_ceo,Tiki,Tiki CEO (Vietnam)
phan,tech_entrepreneur,Momo,Momo founder (Vietnam)
nguyen,tech_ceo,Momo,Momo CEO (Vietnam)
siwat,tech_entrepreneur,Agoda,Agoda co-founder (Thailand)
robert,tech_ceo,Agoda,Agoda CEO (Thailand)
pawoot,tech_entrepreneur,Tarad,Tarad founder (Thailand)
vichai,tech_ceo,Tarad,Tarad CEO (Thailand)
tomas,tech_entrepreneur,2C2P,2C2P founder (Thailand)
akkarapon,tech_ceo,2C2P,2C2P CEO (Thailand)
pongap,tech_entrepreneur,Ascend Money,Ascend Money founder (Thailand)
surach,tech_ceo,Ascend Money,Ascend Money CEO (Thailand)
kha,tech_entrepreneur,MoMo,MoMo founder (Vietnam)
nguyen,tech_ceo,MoMo,MoMo CEO (Vietnam)
jerry,tech_entrepreneur,Carousell,Carousell founder (Singapore)
quek,tech_ceo,Carousell,Carousell CEO (Singapore)
lucas,tech_entrepreneur,Ninety Nine,Ninety Nine founder (Indonesia)
doni,tech_ceo,Ninety Nine,Ninety Nine CEO (Indonesia)
haryanto,tech_entrepreneur,Kudo,Kudo founder (Indonesia)
agung,tech_ceo,Kudo,Kudo CEO (Indonesia)
andrew,tech_entrepreneur,Alto,Alto founder (Philippines)
edward,tech_ceo,Alto,Alto CEO (Philippines)
brian,tech_entrepreneur,Coins,Coins founder (Philippines)
ron,tech_ceo,Coins,Coins CEO (Philippines)
martin,tech_entrepreneur,Xendit,Xendit founder (Indonesia)
moses,tech_ceo,Xendit,Xendit CEO (Indonesia)
tomasz,tech_entrepreneur,OVO,OVO co-founder (Indonesia)
jason,tech_ceo,OVO,OVO CEO (Indonesia)
patrick,tech_entrepreneur,Carsome,Carsome founder (Malaysia)
eric,tech_ceo,Carsome,Carsome CEO (Malaysia)
cheng,tech_entrepreneur,Presto,Presto founder (Indonesia)
karl,tech_ceo,Presto,Presto CEO (Indonesia)
