handle,category,source,note
reed,tech_ceo,LinkedIn,LinkedIn founder (Illinois)
eric,tech_ceo,UiPath,UiPath founder (Romania/US)
david,tech_ceo,Box,Box founder (Washington)
aaron,tech_ceo,Box,Box co-founder (Washington)
drew,tech_ceo,Dropbox,Dropbox founder (Massachusetts)
arash,tech_entrepreneur,Dropbox,Dropbox co-founder (Iran/US)
ben,tech_ceo,Benchling,Benchling founder (Massachusetts)
sajith,tech_entrepreneur,Benchling,Benchling co-founder (Sri Lanka/US)
jack,tech_ceo,Stripe,Stripe founder (California)
patrick,tech_entrepreneur,Stripe,Stripe co-founder (Ireland/US)
john,tech_ceo,Collison,Stripe co-founder (California)
evan,tech_ceo,Snap,Snap founder (California)
bobby,tech_entrepreneur,Snap,Snap co-founder (California)
kevin,tech_ceo,Instagram,Instagram founder (California)
mike,tech_entrepreneur,Instagram,Instagram co-founder (Brazil/US)
david,tech_ceo,WhatsApp,WhatsApp founder (Ukraine/US)
brian,tech_entrepreneur,WhatsApp,WhatsApp co-founder (California)
jan,tech_ceo,Klarna,Klarna founder (Sweden/US)
niklas,tech_entrepreneur,Klarna,Klarna co-founder (Sweden/US)
sebastian,tech_ceo,Klarna,Klarna CEO (Sweden/US)
alex,tech_ceo,Opendoor,Opendoor founder (Texas)
keith,tech_entrepreneur,Opendoor,Opendoor co-founder (Texas)
eric,tech_ceo,Wish,Wish founder (Wisconsin)
peter,tech_entrepreneur,Wish,Wish co-founder (California)
daniel,tech_ceo,Datadog,Datadog founder (New York)
olivier,tech_entrepreneur,Datadog,Datadog co-founder (France/US)
pierre,tech_ceo,Datadog,Datadog CEO (France/US)
manish,tech_ceo,Postman,Postman founder (India/US)
abhinav,tech_entrepreneur,Postman,Postman co-founder (India/US)
anand,tech_ceo,Postman,Postman CEO (India/US)
dinesh,tech_ceo,Coinbase,Coinbase founder (California)
brian,tech_entrepreneur,Coinbase,Coinbase co-founder (California)
fred,tech_ceo,Coinbase,Coinbase CEO (California)
austin,tech_ceo,Roblox,Roblox founder (California)
david,tech_entrepreneur,Roblox,Roblox co-founder (Canada/US)
cathy,tech_ceo,Roblox,Roblox CEO (California)
emily,tech_ceo,Houzz,Houzz founder (California)
adi,tech_entrepreneur,Houzz,Houzz co-founder (Israel/US)
tony,tech_ceo,Warby,Parker,Warby Parker founder (Pennsylvania)
dave,tech_entrepreneur,Warby,Parker,Warby Parker co-founder (Pennsylvania)
neil,tech_ceo,Bonobos,Bonobos founder (New York)
brian,tech_entrepreneur,Bonobos,Bonobos co-founder (New York)
andy,tech_ceo,Casper,Casper founder (New York)
luke,tech_entrepreneur,Casper,Casper co-founder (New York)
philip,tech_ceo,Allbirds,Allbirds founder (New Zealand/US)
joey,tech_entrepreneur,Allbirds,Allbirds co-founder (New Zealand/US)
tim,tech_ceo,Allbirds,Allbirds CEO (New Zealand/US)
