handle,category,source,note
elonmusk,tech_leadership,tesla_spacex_ceo,Elon Musk
jack,tech_leadership,twitter_founder,Jack Dorsey
pmarca,tech_leadership,a16z_cofounder,Marc Andreessen
cdixon,tech_leadership,a16z_partner,Chris Dixon
punk6529,blockchain,nft_thought_leader,NFT collector & thought leader
levie,tech_leadership,box_ceo,Aaron Levie (Box)
dhh,tech_leadership,rails_creator,DHH (Ruby on Rails)
spolsky,tech_leadership,stackoverflow_cofounder,Joel Spolsky
gruber,tech_content,daringfireball,John Gruber
APompliano,blockchain,pomp_podcast,Anthony Pompliano
michael_saylor,blockchain,microstrategy_ceo,Michael Saylor
novogratz,blockchain,galaxy_digital_ceo,Mike Novogratz
RaoulGMI,finance,real_vision_founder,Raoul Pal
santiagoroel,blockchain,investor,Santiago Roel Santos
aantonop,blockchain,bitcoin_educator,Andreas Antonopoulos
