handle,category,source_url,note
karpathy,ai_research,https://twitter.com/i/lists/m08-ai-research,Former OpenAI/Tesla Director AI
ylecun,ai_research,https://twitter.com/i/lists/m08-ai-research,Meta Chief AI Scientist - Turing Award
AndrewYNg,ai_research,https://twitter.com/i/lists/m08-ai-research,DeepLearning.AI founder - Stanford
fchollet,ai_research,https://twitter.com/i/lists/m08-ai-research,Keras creator - Google Brain
hardmaru,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Brain researcher
JeffDean,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Senior Fellow - TensorFlow
jeremyphoward,ai_research,https://twitter.com/i/lists/m08-ai-research,fast.ai founder - Kaggle former President
arankomatsuzaki,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent AI researcher - EleutherAI
srush_nlp,ai_research,https://twitter.com/i/lists/m08-ai-research,Cornell NLP professor
_rockt,ai_research,https://twitter.com/i/lists/m08-ai-research,UCL/FAIR researcher
giffmana,ai_research,https://twitter.com/i/lists/m08-ai-research,Google AI - Vision research
rasbt,ai_research,https://twitter.com/i/lists/m08-ai-research,UW-Madison - Lightning AI
aw_hawkins,ai_research,https://twitter.com/i/lists/m08-ai-research,UC Berkeley AI researcher
_deanora,ai_research,https://twitter.com/i/lists/m08-ai-research,Stanford NLP PhD
DynamicWebPaige,ai_research,https://twitter.com/i/lists/m08-ai-research,Apple ML Director - TensorFlow DevRel
gabrielilharco,ai_research,https://twitter.com/i/lists/m08-ai-research,UW/Apple researcher - CLIP
AKMahmud,ai_research,https://twitter.com/i/lists/m08-ai-research,MIT CSAIL - Robotics
_AlexeiEfros_,ai_research,https://twitter.com/i/lists/m08-ai-research,UC Berkeley Vision professor
arthurmensch,ai_research,https://twitter.com/i/lists/m08-ai-research,Mistral AI - Former DeepMind
avitaloliver,ai_research,https://twitter.com/i/lists/m08-ai-research,CMU/Google Research
badmlpapa,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent RL researcher
BorisDayma,ai_research,https://twitter.com/i/lists/m08-ai-research,Hugging Face ML researcher
cwolferesearch,ai_research,https://twitter.com/i/lists/m08-ai-research,Independent AI research - LLMs
dair_ai,ai_research,https://twitter.com/i/lists/m08-ai-research,DAIR.AI founder - AI educator
deliprao,ai_research,https://twitter.com/i/lists/m08-ai-research,Hugging Face Principal Scientist
EMostaque,ai_research,https://twitter.com/i/lists/m08-ai-research,Stability AI founder
ericjang11,ai_research,https://twitter.com/i/lists/m08-ai-research,Google Research - Robotics
ErwanLeCun,ai_research,https://twitter.com/i/lists/m08-ai-research,Meta AI research engineer
