handle,category,source_url
sama,AI Infrastructure,https://openai.com/about
gdb,AI Infrastructure,https://openai.com/about
amasad,Developer Tools,https://replit.com/about
tobi,E-commerce + AI,https://www.shopify.com/about
dhh,Developer Tools,https://37signals.com
levelsio,AI Consumer Apps,https://twitter.com/levelsio
alexismadrigal,AI Analysis,https://twitter.com/alexismadrigal
chrismessina,Product Innovation,https://twitter.com/chrismessina
naval,Angel Investing,https://twitter.com/naval
balajis,Network States + AI,https://twitter.com/balajis
pmarca,VC + AI,https://a16z.com
bhorowitz,VC + AI,https://a16z.com
patrickc,Stripe,https://stripe.com/about
collision,Stripe,https://stripe.com/about
stewart,Typeform,https://www.typeform.com/company
bensomers,Apex AI,https://twitter.com/bensomers
reidhoffman,AI + VC,https://www.linkedin.com/in/reidhoffman
shl,Anthropic,https://www.anthropic.com/company
daniela_amodei,Anthropic,https://www.anthropic.com/company
mustafasuleyman,DeepMind + Inflection,https://inflection.ai
karpathy,AI Education,https://twitter.com/karpathy
ylecun,Meta AI,https://twitter.com/ylecun
demishassabis,DeepMind,https://deepmind.google
ilyasut,OpenAI,https://openai.com/about
graygreg,OpenAI,https://openai.com/about
sama,OpenAI,https://openai.com/about
shanselman,Microsoft AI,https://twitter.com/shanselman
timnitGebru,DAIR,https://www.dair-institute.org
mmitchell_ai,Hugging Face,https://huggingface.co
julien_c,Hugging Face,https://huggingface.co
clem,Hugging Face,https://huggingface.co
Thom_Wolf,Hugging Face,https://huggingface.co
osanseviero,Hugging Face,https://huggingface.co
_philschmid,Hugging Face,https://huggingface.co
EMostaque,Stability AI,https://stability.ai
aidan_gomez,Cohere,https://cohere.com
nickfrosst,Cohere,https://cohere.com
ivanzhang,Notion,https://www.notion.so/about
jashliao,Figma,https://www.figma.com/about
johnmaeda,Design + AI,https://twitter.com/johnmaeda
paulg,Y Combinator,https://www.ycombinator.com
,Y Combinator,https://www.ycombinator.com
garrytan,Y Combinator,https://www.ycombinator.com
eriktorenberg,On Deck,https://twitter.com/eriktorenberg
stephsmithio,Andreessen Horowitz,https://a16z.com
saranormous,Descript,https://www.descript.com
AndrewYNg,DeepLearning.AI,https://www.deeplearning.ai
fchollet,Keras,https://keras.io
soumithchintala,PyTorch,https://pytorch.org
rohanpaul_ai,AI Consulting,https://twitter.com/rohanpaul_ai
swyx,AI Engineering,https://twitter.com/swyx
simonw,Datasette,https://datasette.io
natfriedman,Former GitHub CEO,https://twitter.com/natfriedman
gkoberger,ReadMe,https://readme.com
adamwathan,Tailwind CSS,https://tailwindcss.com
levelsio,Nomad List,https://nomadlist.com
danshipper,Every,https://every.to
nbashaw,Substack,https://substack.com
hamish_mckenzie,Substack,https://substack.com
chris_best,Substack,https://substack.com
