handle,category,source,note
fredwilson,vc_investing,venture_capital,Union Square Ventures VC
jason,vc_investing,venture_capital,Entrepreneur and investor
pmarca,vc_investing,venture_capital,Andreessen Horowitz co-founder
sacca,vc_investing,angel_investing,Lowercase Capital founder
peterthiel,vc_investing,venture_capital,Palantir co-founder and investor
cdixon,vc_investing,venture_capital,Andreessen Horowitz partner
leerobinson,vc_investing,angel_investing,Angel investor and founder
chamath,vc_investing,spac_investing,Social Capital CEO
bfeld,vc_investing,venture_capital,Foundry Group managing director
jerryneumann,vc_investing,angel_investing,Angel investor and entrepreneur
naval,creator_economy,angel_investing,Angel investor and philosopher
balajis,creator_economy,venture_capital,Former Coinbase CTO
sama,creator_economy,ai_investing,OpenAI CEO
davidsacks,creator_economy,venture_capital,PayPal Mafia
paulg,vc_investing,venture_capital,Y Combinator co-founder
garrytan,vc_investing,venture_capital,Y Combinator CEO
timoreilly,vc_investing,tech_investing,O'Reilly Media founder
davewiner,vc_investing,tech_investing,Software pioneer
vitalikbuterin,creator_economy,cryptocurrency,Ethereum co-founder
jasoncalacanis,vc_investing,angel_investing,Angel investor and podcaster
dhh,tech_investing,tech_entrepreneur,Ruby on Rails creator
sivers,creator_economy,entrepreneurship,Derek Sivers author
fried,tech_investing,saas,Basecamp CEO
patio11,tech_investing,indie_hacking,Indie hacker
amywebb,tech_investing,tech_futurist,Technology futurist
caseynewton,tech_investing,tech_journalist,Platformer newsletter
karaswisher,tech_investing,tech_journalist,Recode founder
profgalloway,tech_investing,tech_professor,NYU Stern professor
benthompson,tech_investing,tech_analysis,Stratechery founder
anand,tech_investing,tech_journalist,The Verge editor
parismartineau,tech_investing,tech_journalist,The Verge writer
sarahjeong,policy_governance,tech_writer,Technology writer
zeynep,policy_governance,tech_sociologist,Technology sociologist
fmanjoo,policy_governance,tech_columnist,New York Times tech columnist
evgenymorozov,policy_governance,tech_critic,Technology critic
timwu,policy_governance,tech_lawyer,Technology law professor
juliusk,vc_investing,tech_investing,Technology investor
david,vc_investing,podcasting,All-In Podcast host
jasonfried,tech_investing,saas,Basecamp CEO
