handle,category,source,note
fredwilson,vc_investing,venture_capital,Union Square Ventures VC
jason,vc_investing,venture_capital,Entrepreneur and investor
pmarca,vc_investing,venture_capital,Andreessen Horowitz co-founder
sacca,vc_investing,angel_investing,Lowercase Capital founder
peterthiel,vc_investing,venture_capital,Palantir co-founder and investor
cdixon,vc_investing,venture_capital,Andreessen Horowitz partner
leerobinson,vc_investing,angel_investing,Angel investor and founder
chamath,vc_investing,spac_investing,Social Capital CEO
bfeld,vc_investing,venture_capital,Foundry Group managing director
jerryneumann,vc_investing,angel_investing,Angel investor and entrepreneur
naval,creator_economy,angel_investing,Angel investor and philosopher
balajis,creator_economy,venture_capital,Former Coinbase CTO
sama,creator_economy,ai_investing,OpenAI CEO
DavidSacks,creator_economy,venture_capital,PayPal Mafia, Craft Ventures
paulg,vc_investing,venture_capital,Y Combinator co-founder
garrytan,vc_investing,venture_capital,Y Combinator CEO
samaltman,creator_economy,ai_investing,OpenAI CEO (alt handle)
elonmusk,creator_economy,tech_investing,Tesla/SpaceX CEO
jack,creator_economy,tech_investing,Twitter co-founder
timoreilly,vc_investing,tech_investing,O'Reilly Media founder
davewiner,vc_investing,tech_investing,Software pioneer
vitalikbuterin,creator_economy,cryptocurrency,Ethereum co-founder
cdixon,vc_investing,venture_capital,Andreessen Horowitz partner (duplicate)
sacca,vc_investing,angel_investing,Lowercase Capital founder (duplicate)
a16z,vc_investing,venture_capital,Andreessen Horowitz firm
sequoia,vc_investing,venture_capital,Sequoia Capital firm
benchmark,vc_investing,venture_capital,Benchmark Capital firm
usv,vc_investing,venture_capital,Union Square Ventures firm
foundrygroup,vc_investing,venture_capital,Foundry Group firm
socialcapital,vc_investing,spac_investing,Social Capital firm
craftventures,vc_investing,venture_capital,Craft Ventures firm
ycombinator,vc_investing,accelerator,Y Combinator accelerator
techcrunch,tech_investing,tech_news,TechCrunch media
venturebeat,tech_investing,tech_news,VentureBeat media
theinformation,tech_investing,tech_news,The Information media
stratechery,tech_investing,tech_analysis,Ben Thompson analysis
caseynewton,tech_investing,tech_journalist,Platformer newsletter
karaswisher,tech_investing,tech_journalist,Recode founder
profgalloway,tech_investing,tech_professor,NYU Stern professor
benthompson,tech_investing,tech_analysis,Stratechery founder
anand,tech_investing,tech_journalist,The Verge editor
parismartineau,tech_investing,tech_journalist,The Verge writer
caseynewton,tech_investing,tech_journalist,Platformer founder (duplicate)
sarahjeong,policy_governance,tech_journalist,Technology writer
zeynep,policy_governance,tech_sociologist,Technology sociologist
fmanjoo,policy_governance,tech_journalist,New York Times tech columnist
evgenymorozov,policy_governance,tech_critic,Technology critic
timwu,policy_governance,tech_lawyer,Technology law professor
juliusk,vc_investing,tech_investing,Technology investor
jasoncalacanis,vc_investing,angel_investing,Angel investor and podcaster
dhh,tech_investing,tech_entrepreneur,Ruby on Rails creator
sivers,creator_economy,entrepreneurship,Derek Sivers author
naval,creator_economy,philosophy,Angel investor and philosopher (duplicate)
paulg,vc_investing,entrepreneurship,Y Combinator co-founder (duplicate)
garrytan,vc_investing,design,Y Combinator CEO (duplicate)
sama,creator_economy,ai_investing,OpenAI CEO (duplicate)
balajis,creator_economy,network_state,Network State author
DavidSacks,creator_economy,podcasting,All-In Podcast host (duplicate)
chamath,vc_investing,podcasting,All-In Podcast host (duplicate)
jason,vc_investing,podcasting,All-In Podcast host (duplicate)
david,vc_investing,podcasting,All-In Podcast host
fried,tech_investing,saas,Basecamp CEO
dhh,tech_investing,saas,Ruby on Rails creator (duplicate)
jasonfried,tech_investing,saas,Basecamp CEO (duplicate)
patio11,tech_investing,indie_hacking,Indie hacker
amywebb,tech_investing,tech_futurist,Technology futurist
wired,tech_investing,tech_news,Wired magazine
mittechreview,tech_investing,tech_news,MIT Technology Review
arstechnica,tech_investing,tech_news,Ars Technica
verge,tech_investing,tech_news,The Verge
recode,tech_investing,tech_news,Recode (archived)
protocol,tech_investing,tech_news,Protocol (archived)
axiospro,tech_investing,tech_news,Axios Pro
bloombergtech,tech_investing,tech_news,Bloomberg Technology
cnntech,tech_investing,tech_news,CNN Technology
wsjtech,tech_investing,tech_news,Wall Street Journal Tech
fttech,tech_investing,tech_news,Financial Times Tech
reuterstech,tech_investing,tech_news,Reuters Technology
aptech,tech_investing,tech_news,Associated Press Tech
nprtech,tech_investing,tech_news,NPR Technology
bbctech,tech_investing,tech_news,BBC Technology
cnet,tech_investing,tech_news,CNET
engadget,tech_investing,tech_news,Engadget
gizmodo,tech_investing,tech_news,Gizmodo
techcrunch,tech_investing,tech_news,TechCrunch (duplicate)
venturebeat,tech_investing,tech_news,VentureBeat (duplicate)
theinformation,tech_investing,tech_news,The Information (duplicate)
stratechery,tech_investing,tech_analysis,Stratechery (duplicate)
caseynewton,tech_investing,tech_journalist,Platformer (duplicate)
karaswisher,tech_investing,tech_journalist,Recode (duplicate)
profgalloway,tech_investing,tech_professor,NYU Stern (duplicate)
benthompson,tech_investing,tech_analysis,Stratechery (duplicate)
anand,tech_investing,tech_journalist,The Verge (duplicate)
parismartineau,tech_investing,tech_journalist,The Verge (duplicate)
sarahjeong,policy_governance,tech_writer,Technology writer (duplicate)
zeynep,policy_governance,tech_sociologist,Technology sociologist (duplicate)
fmanjoo,policy_governance,tech_columnist,NY Times tech columnist (duplicate)
evgenymorozov,policy_governance,tech_critic,Technology critic (duplicate)
timwu,policy_governance,tech_lawyer,Technology law professor (duplicate)
