handle,category,source_url
lexfridman,Podcast Host,https://twitter.com/lexfridman
jeremy_p_howard,ML Education,https://www.fast.ai/about
racheltho,ML Education,https://www.fast.ai/about
karoly_zsolnai,Tech Educator,https://twitter.com/karoly_zsolnai
grant_sanderson,Math/AI Educator,https://www.3blue1brown.com
ykilcher,AI Research Explainer,https://twitter.com/ykilcher
DrJimFan,AI Research/Education,https://twitter.com/DrJimFan
hardmaru,AI Research/Art,https://twitter.com/hardmaru
poolio,AI Newsletter,https://twitter.com/poolio
bentossell,AI Tools/Newsletter,https://twitter.com/bentossell
rowancheung,AI Newsletter,https://twitter.com/rowancheung
mattshumer_,AI Educator,https://twitter.com/mattshumer_
omarsar0,NLP/ML Educator,https://twitter.com/omarsar0
svpino,ML Education,https://twitter.com/svpino
alphasignalai,AI Newsletter,https://twitter.com/alphasignalai
TheRundownAI,AI Newsletter,https://twitter.com/TheRundownAI
mariafgodoy,AI/ML Content,https://twitter.com/mariafgodoy
abacaj,ML Educator,https://twitter.com/abacaj
_akhaliq,ML Papers Daily,https://twitter.com/_akhaliq
weights_biases,ML Tools/Education,https://twitter.com/weights_biases
fastdotai,ML Education,https://twitter.com/fastdotai
huggingface,ML Education Platform,https://twitter.com/huggingface
OpenAI,AI Education,https://twitter.com/OpenAI
AnthropicAI,AI Education,https://twitter.com/AnthropicAI
sama,AI Leadership,https://twitter.com/sama
GregBrockman,AI Leadership,https://twitter.com/GregBrockman
bindureddy,AI Ops/Education,https://twitter.com/bindureddy
emollick,AI/Education Research,https://twitter.com/emollick
ylecun,AI Research Leader,https://twitter.com/ylecun
goodfellow_ian,AI Researcher,https://twitter.com/goodfellow_ian
jeffdean,AI Research Leader,https://twitter.com/jeffdean
OriolVinyalsML,AI Researcher,https://twitter.com/OriolVinyalsML
shakir_za,AI Researcher,https://twitter.com/shakir_za
MetaAI,AI Research,https://twitter.com/MetaAI
GoogleAI,AI Research,https://twitter.com/GoogleAI
DeepMind,AI Research,https://twitter.com/DeepMind
stanfordnlp,NLP Research,https://twitter.com/stanfordnlp
MIT_CSAIL,AI Research,https://twitter.com/MIT_CSAIL
berkeley_ai,AI Research,https://twitter.com/berkeley_ai
mlfoundations,ML Education,https://twitter.com/mlfoundations
