handle,category,source_url
sindresorhus,Open Source,https://github.com/sindresorhus
kentcdodds,Developer Advocate,https://twitter.com/kentcdodds
ThePrimeagen,Developer Educator,https://twitter.com/ThePrimeagen
t3dotgg,Developer Educator,https://twitter.com/t3dotgg
acdlite,React Core,https://twitter.com/acdlite
sophiebits,React Core,https://twitter.com/sophiebits
sebmarkbage,React Core,https://twitter.com/sebmarkbage
brian_d_vaughn,React DevTools,https://twitter.com/brian_d_vaughn
acemarke,Redux Maintainer,https://twitter.com/acemarke
housecor,JavaScript Educator,https://twitter.com/housecor
getify,JavaScript Educator,https://twitter.com/getify
chrisbiscardi,Developer Educator,https://twitter.com/chrisbiscardi
swyx,Developer Advocate,https://twitter.com/swyx
ben_a_ward,Developer Advocate,https://twitter.com/BenLesh
BenLesh,RxJS Maintainer,https://twitter.com/BenLesh
jaffathecake,Google DevRel,https://twitter.com/jaffathecake
Una,Google DevRel,https://twitter.com/Una
argyleink,Google DevRel,https://twitter.com/argyleink
DasSurma,Google DevRel,https://twitter.com/DasSurma
mathias,Google V8,https://twitter.com/mathias
RReverser,Google/Rust,https://twitter.com/RReverser
left_pad,JavaScript,https://twitter.com/left_pad
zeithq,Vercel (official),https://twitter.com/zeithq
Netlify,Netlify (official),https://twitter.com/Netlify
Railway,Railway (official),https://twitter.com/Railway
supabase,Supabase (official),https://twitter.com/supabase
flydotio,Fly.io (official),https://twitter.com/flydotio
HasuraHQ,Hasura (official),https://twitter.com/HasuraHQ
linear,Linear (official),https://twitter.com/linear
figma,Figma (official),https://twitter.com/figma
stripe,Stripe (official),https://twitter.com/stripe
CloudflareDev,Cloudflare Dev,https://twitter.com/CloudflareDev
SlackAPI,Slack API,https://twitter.com/SlackAPI
awscloud,AWS,https://twitter.com/awscloud
Azure,Microsoft Azure,https://twitter.com/Azure
GoogleCloud,Google Cloud,https://twitter.com/GoogleCloud
DigitalOcean,DigitalOcean,https://twitter.com/DigitalOcean
MongoDB,MongoDB,https://twitter.com/MongoDB
PostgreSQL,PostgreSQL,https://twitter.com/PostgreSQL
golang,Go Language,https://twitter.com/golang
