handle,category,source_url
troyhunt,Security Educator,https://twitter.com/troyhunt
theluckylion,Security Researcher,https://twitter.com/theluckylion
SwiftOnSecurity,Security Advocate,https://twitter.com/SwiftOnSecurity
nixcraft,DevOps/Security,https://twitter.com/nixcraft
briankrebs,Security Journalist,https://twitter.com/briankrebs
tavismantle,Security Researcher,https://twitter.com/tavismantle
gcluley,Security Educator,https://twitter.com/gcluley
mikko,Security Researcher,https://twitter.com/mikko
schneierblog,Security Thought Leader,https://twitter.com/schneierblog
stealthsploit,Pentester,https://twitter.com/stealthsploit
_MG_,Security Researcher,https://twitter.com/_MG_
taviso,Security Researcher,https://twitter.com/taviso
lcamtuf,Security Researcher,https://twitter.com/lcamtuf
0xdabbad00,Cloud Security,https://twitter.com/0xdabbad00
joshcgrossman,AppSec,https://twitter.com/joshcgrossman
infosecjen,Security Advocate,https://twitter.com/infosecjen
kimzetter,Security Journalist,https://twitter.com/kimzetter
riskybusiness,Security Podcast,https://twitter.com/riskybusiness
darknetdiaries,Security Podcast,https://twitter.com/darknetdiaries
x0rz,Threat Intel,https://twitter.com/x0rz
malwareunicorn,Malware Analysis,https://twitter.com/malwareunicorn
HackingDave,Security Researcher,https://twitter.com/HackingDave
stephenfewer,Security Researcher,https://twitter.com/stephenfewer
hackerfantastic,Pentester,https://twitter.com/hackerfantastic
maddiestone,Security Researcher,https://twitter.com/maddiestone
campuscodi,Infosec News,https://twitter.com/campuscodi
cyb3rops,Threat Intel,https://twitter.com/cyb3rops
sethsec,AppSec,https://twitter.com/sethsec
portswigger,Security Tools,https://twitter.com/portswigger
NetSPI,Pentesting,https://twitter.com/NetSPI
ProjectZeroP0,Google Project Zero,https://twitter.com/ProjectZeroP0
owaspfoundation,OWASP,https://twitter.com/owaspfoundation
hackerone,Bug Bounty,https://twitter.com/hackerone
Bugcrowd,Bug Bounty,https://twitter.com/Bugcrowd
DEFCON,Security Conference,https://twitter.com/DEFCON
BlackHatEvents,Security Conference,https://twitter.com/BlackHatEvents
RSAConference,Security Conference,https://twitter.com/RSAConference
Shodan_HQ,Security Tools,https://twitter.com/Shodan_HQ
Shodan,Security Tools,https://twitter.com/Shodan
metasploit,Security Framework,https://twitter.com/metasploit
