handle,category,source,note
ninja,tech_entrepreneur,Twitch,Twitch founder (US)
kevin,tech_ceo,Twitch,Twitch CEO (US)
emmett,tech_entrepreneur,Discord,Discord founder (US)
jason,tech_ceo,Discord,Discord CEO (US)
david,tech_entrepreneur,Roblox,Roblox founder (US)
david,tech_ceo,Roblox,Roblox CEO (US)
michael,tech_entrepreneur,Epic Games,Epic Games founder (US)
tim,tech_ceo,Epic Games,Epic Games CEO (US)
gordon,tech_entrepreneur,Valve,Valve founder (US)
gabe,tech_ceo,Valve,Valve CEO (US)
jens,tech_entrepreneur,Mojang,Mojang founder (Sweden)
jakob,tech_ceo,Mojang,Mojang CEO (Sweden)
mike,tech_entrepreneur,Riot Games,Riot Games founder (US)
nicolo,tech_ceo,Riot Games,Riot Games CEO (US)
johanna,tech_entrepreneur,King,King founder (Sweden)
riccardo,tech_ceo,King,King CEO (Sweden)
mitch,tech_entrepreneur,Unity,Unity founder (US)
john,tech_ceo,Unity,Unity CEO (US)
david,tech_entrepreneur,Supercell,Supercell founder (Finland)
ilkkapaananen,tech_ceo,Supercell,Supercell CEO (Finland)
niklas,tech_entrepreneur,Rovio,Rovio founder (Finland)
kati,tech_ceo,Rovio,Rovio CEO (Finland)
alex,tech_entrepreneur,Wargaming,Wargaming founder (Belarus)
victor,tech_ceo,Wargaming,Wargaming CEO (Belarus)
yves,tech_entrepreneur,Ubisoft,Ubisoft founder (France)
serge,tech_ceo,Ubisoft,Ubisoft CEO (France)
andrew,tech_ceo,Electronic Arts,Electronic Arts CEO (US)
larry,tech_entrepreneur,Take-Two,Take-Two founder (US)
strauss,tech_ceo,Take-Two,Take-Two CEO (US)
robert,tech_entrepreneur,Activision,Activision founder (US)
bobby,tech_ceo,Activision,Activision CEO (US)
johannes,tech_entrepreneur,CD Projekt,CD Projekt founder (Poland)
marcin,tech_ceo,CD Projekt,CD Projekt CEO (Poland)
hideo,tech_entrepreneur,Kojima Productions,Kojima Productions founder (Japan)
shinji,tech_ceo,Kojima Productions,Kojima Productions CEO (Japan)
todd,tech_entrepreneur,Bethesda,Bethesda founder (US)
pete,tech_ceo,Bethesda,Bethesda CEO (US)
casey,tech_entrepreneur,BioWare,BioWare founder (Canada)
mark,tech_ceo,BioWare,BioWare CEO (Canada)
amy,tech_entrepreneur,Naughty Dog,Naughty Dog founder (US)
neil,tech_ceo,Naughty Dog,Naughty Dog CEO (US)
sam,tech_entrepreneur,Insomniac,Insomniac founder (US)
ted,tech_ceo,Insomniac,Insomniac CEO (US)
sean,tech_entrepreneur,Guerilla,Guerilla founder (Netherlands)
jan,tech_ceo,Guerilla,Guerilla CEO (Netherlands)
guillaume,tech_entrepreneur,Quantic Dream,Quantic Dream founder (France)
david,tech_ceo,Quantic Dream,Quantic Dream CEO (France)
christian,tech_entrepreneur,Crytek,Crytek founder (Germany)
avni,tech_ceo,Crytek,Crytek CEO (Germany)
cliff,tech_entrepreneur,Epic Games,Epic Games founder (US)
tim,tech_ceo,Epic Games,Epic Games CEO (US)
