handle,category,source,note
markruffalo,climate_tech,environmental_actor,Environmental activist and actor
drewperkins,climate_tech,clean_energy,Clean energy venture investor
gchristensen,climate_tech,climate_policy,Climate policy and energy analyst
catherineklu,climate_tech,climate_tech,Clean technology and sustainability investor
emilycanter,climate_tech,climate_comms,Climate communications and strategy
sammirk,climate_tech,climate_investor,Climate tech investor and entrepreneur
drdevinnath,climate_tech,climate_science,Climate scientist and researcher
sajith,climate_tech,sustainability,Sustainable technology and impact investing
rahuldav,climate_tech,clean_tech,Clean technology and climate solutions
jonahkeriuk,climate_tech,climate_energy,Climate and energy policy analyst
