handle,category,source,note
fmanjoo,policy_governance,technology_policy,Technology journalist and policy commentator
zeynep,policy_governance,technology_policy,Technology and society researcher
sarahjeong,policy_governance,technology_policy,Technology law and policy writer
mmasnick,policy_governance,technology_policy,Technology policy analyst
evgenymorozov,policy_governance,digital_rights,Digital rights and internet policy critic
cdesilver,policy_governance,data_policy,Data privacy and policy researcher
jeffjarvis,policy_governance,media_policy,Journalism professor and media policy
nilspeterson,policy_governance,cyber_policy,Cybersecurity policy researcher
kateconger,policy_governance,tech_policy,Technology policy reporter
mariafernandez,policy_governance,digital_policy,Digital policy researcher
