handle,category,source,note
fredwilson,vc_investing,venture_capital,Union Square Ventures VC
jason,vc_investing,venture_capital,Entrepreneur and investor
pmarca,vc_investing,venture_capital,Andreessen Horowitz co-founder
sacca,vc_investing,angel_investing,Lowercase Capital founder
peterthiel,vc_investing,venture_capital,Palantir co-founder and investor
cdixon,vc_investing,venture_capital,Andreessen Horowitz partner
leerobinson,vc_investing,angel_investing,Angel investor and founder
chamath,vc_investing,spac_investing,Social Capital CEO
bfeld,vc_investing,venture_capital,Foundry Group managing director
jerryneumann,vc_investing,angel_investing,Angel investor and entrepreneur
