handle,category,source,note
brianarmstrong,fintech,cryptocurrency,Coinbase CEO
sbf,fintech,cryptocurrency,FTX founder (note: controversial but influential)
czbinance,fintech,cryptocurrency,Binance CEO
tyler,fintech,cryptocurrency,Gemini co-founder Tyler Winklevoss
cameron,fintech,cryptocurrency,Gemini co-founder Cameron Winklevoss
patrickcollison,fintech,payments,Stripe CEO
john_collision,fintech,payments,Stripe co-founder
vladtenev,fintech,trading,Robinhood CEO
baiju,fintech,trading,Robinhood co-founder Baiju Bhatt
davidmarcus,fintech,digital_payments,Meta Novi, former PayPal
melgrem,fintech,banking,Varo Money CEO
