handle,category,source,note
eric_topol,healthtech,digital_health,Cardiologist, digital health researcher
vinodkhosla,healthtech,healthcare_investing,Khosla Ventures founder, health tech investor
lizkohn,healthtech,digital_health,Health tech entrepreneur and researcher
johnbrown,healthtech,biotechnology,Modern Therapeutics co-founder
vijay,healthtech,biotechnology,Biotechnology researcher
emmawatson,healthtech,genomics,Genomics researcher
sally,healthtech,medical_devices,Medical device innovator
richardsutton,healthtech,ai_medicine,AI in medicine researcher
pattie,healthtech,digital_health,Healthcare technology researcher
jade,healthtech,healthcare_innovation,Healthcare innovation researcher
