handle,category,source,note
cz_binance,crypto,binance,CEO of Binance
balajis,crypto,investor,Former CTO of Coinbase, angel investor
paoloardoino,crypto,bitfinex,CEO of Bitfinex
brian_armstrong,crypto,coinbase,CEO of Coinbase
saylor,crypto,microstrategy,Bitcoin advocate, CEO of Microstrategy
michael_saylor,crypto,microstrategy,Bitcoin advocate, CEO of Microstrategy
danheld,crypto,analyst,Bitcoin analyst and educator
APompliano,crypto,investor,Crypto investor and Morgan Creek Digital founder
CaitlinLong,crypto,avanti,CEO of Avanti Financial Group
CameronTylerWinklevoss,crypto,gemini,Co-founders of Gemini
twobitidiot,crypto,analyst,Crypto analyst and educator
DocumentingBTC,crypto,education,Bitcoin educator and content creator
WhalePanda,crypto,analysis,Crypto analysis and commentary
TheCryptoDog,crypto,trader,Crypto trader and analyst
CryptoGodJohn,crypto,trader,Crypto trader and analyst
Loomdart,crypto,trader,Crypto trader and analyst
CredibleCrypto,crypto,analysis,Crypto analysis and education
PlanB,crypto,analyst,Stock-to-Flow model creator
100trillionUSD,crypto,analyst,Bitcoin analyst and educator
WilshireWendy,crypto,analyst,Crypto analyst and educator
VitalikButerin,crypto,ethereum,Co-founder of Ethereum
