handle,category,source,note
vitalikbuterin,web3,ethereum,Ethereum co-founder
sfourcade,web3,paradigm,General Partner at Paradigm
cdixon,web3,Andreessen Horowitz,General Partner at a16z
jessepollak,web3,a16z,General Partner at a16z
katherine_wu,web3,Notary Capital,Founder at Notary Capital
tarunchitra,web3,a16z,General Partner at a16z
linda_xie,web3,Spark Capital,General Partner at Spark Capital
santiagoroel,web3,Paradigm,General Partner at Paradigm
avichal,web3,Electric Capital,Founder at Electric Capital
nick_tomaino,web3,Base,Head of Protocol at Base
dankrad,web3,ethereum,Ethereum researcher
justin_drake,web3,ethereum,Ethereum researcher
vitalikbuterin,web3,ethereum,Ethereum co-founder
gabriel_shapira,web3,0x,Founder at 0x
stani,web3,argent,Founder at Argent Wallet
hayden_adams,web3,uniswap,Founder of Uniswap
kain_warwick,web3,makerdao,Founder of MakerDAO
chash,web3,cardano,Founder of Cardano
emily_yang,web3,variant,Founder at Variant Fund
liam,web3,ledgerprime,Founder at LedgerPrime
rohit_ghosh,web3,coinbase,Product Lead at Coinbase
sreeram,web3,coinbase,Engineering Lead at Coinbase
preethi,web3,ethereum,Ethereum educator and developer
greg_osuri,web3,paradigm,Partner at Paradigm
danny,web3,paradigm,Partner at Paradigm
carl,web3,variant,Partner at Variant Fund
alex,web1,thegraph,Founder of The Graph
yaniv,web3,gnosis,Co-founder of Gnosis
martin,web3,gnosis,Co-founder of Gnosis
brad,web3,optimism,Founder of Optimism
jorge,web3,optimism,Founder of Optimism
ben,web3,arbitrum,Founder of Arbitrum
steven,web3,arbitrum,Founder of Arbitrum
patrick,web3,chainlink,Founder of Chainlink
sergey,web3,chainlink,Co-founder of Chainlink
adrian,web3,stellar,Founder of Stellar
jed,web3,stellar,Co-founder of Stellar
tom,web3,rabbithole,Founder of RabbitHole
kevin,web3,rabbithole,Co-founder of RabbitHole
seb,web3,superfluid,Founder of Superfluid
micha,web3,superfluid,Co-founder of Superfluid
