handle,category,source_url,evidence,note
StanfordAI,academic,https://hai.stanford.edu/,https://hai.stanford.edu/people/,Stanford HAI - Human-Centered AI Institute
MIT CSAIL,academic,https://www.csail.mit.edu/,https://www.csail.mit.edu/people/people_faculty,MIT CSAIL - Computer Science and AI Laboratory
BerkeleyAI,academic,https://bair.berkeley.edu/,https://bair.berkeley.edu/people/,Berkeley AI Research Lab - BAIR
CMU AI,academic,https://www.cs.cmu.edu/ai/,https://www.cs.cmu.edu/ai/faculty/,Carnegie Mellon AI Department - Robotics/NLP leaders
OpenAIResearch,ai_research,https://openai.com/research,https://openai.com/research/authors/,OpenAI Research Team - GPT/RLHF pioneers
AnthropicResearch,ai_research,https://www.anthropic.com/research,https://www.anthropic.com/research/authors/,Anthropic Research Team - Constitutional AI
DeepMind,ai_research,https://deepmind.google/research/,https://deepmind.google/research/authors/,DeepMind Research - AlphaGo/AlphaFold
GoogleAI,ai_research,https://ai.google/research/,https://ai.google/research/authors/,Google AI Research - Transformers/BERT
MetaAI,ai_research,https://ai.meta.com/research/,https://ai.meta.com/research/authors/,Meta AI Research - PyTorch/LLaMA
MicrosoftAI,ai_research,https://www.microsoft.com/en-us/research/area/artificial-intelligence/,https://www.microsoft.com/en-us/research/people/,Microsoft AI Research - Azure ML
