handle,category,source_url,evidence,note
elonmusk,space_ceo,https://twitter.com/elonmusk,https://twitter.com/elonmusk,SpaceX CEO and founder - 190M+ followers
jeffbezos,space_ceo,https://www.blueorigin.com/,https://twitter.com/JeffBezos,Blue Origin founder - 6.9M+ followers
sundarpichai,space_tech,https://www.google.com/,https://twitter.com/sundarpichai,Google CEO - satellite internet projects
tim_cook,space_tech,https://www.apple.com/,https://twitter.com/tim_cook,Apple CEO - AR/space tech initiatives
bill_gates,space_tech,https://www.gatesnotes.com/,https://twitter.com/BillGates,Climate + space tech investor - 64M+ followers
richardbranson,space_ceo,https://www.virgingalactic.com/,https://twitter.com/richardbranson,Virgin Galactic founder
neiltyson,space_science,https://www.haydenplanetarium.org/,https://twitter.com/neiltyson,Astrophysicist and science communicator - 15M+ followers
cathy_r_clifford,space_science,https://www.nasa.gov/,https://twitter.com/CathylClifford,NASA scientist and communicator
chris_sembroski,astronaut,https://www.inspiration4.com/,https://twitter.com/chris_sembroski,Inspiration4 astronaut
josh_grossman,space_journalism,https://www.space.com/,https://twitter.com/joshgman,Space.com journalist and editor
