handle,category,source,note
jackconte,creator_economy,m16-batch,40064 followers
DavidSacks,creator_economy,m16-batch,1416375 followers
naval,creator_economy,m16-batch,2947759 followers
balajis,creator_economy,m16-batch,1221399 followers
paulg,creator_economy,m16-batch,2079514 followers
sama,creator_economy,m16-batch,4136765 followers
nickcammarata,creator_economy,m16-batch,87848 followers
CaseyNewton,creator_economy,m16-batch,199842 followers
stratechery,creator_economy,m16-batch,153805 followers
danprimack,creator_economy,m16-batch,156769 followers
TaylorLorenz,creator_economy,m16-batch,349590 followers
