handle,category,source,note
emily_m_lehrer,biotech,academic,MIT Media Lab researcher
drew_endor,biotech,academic,Stanford bioengineering professor
patrick_hsu,biotech,academic,UC Berkeley CRISPR researcher
jennifer_doudna,biotech,academic,UC Berkeley Nobel laureate
emmanuelle_charpentier,biotech,academic,Max Planck Institute director
feng_zhang,biotech,academic,Broad Institute CRISPR pioneer
david_liu,biotech,academic,Harvard chemical biology professor
george_church,biotech,academic,Harvard geneticist
erik_sontheimer,biotech,academic,UMass RNA researcher
pamela_silver,biotech,academic,Harvard systems biology professor
