handle,category,source,note
DavidSacks,creator_economy,m16_batch,Craft Ventures founder, PayPal mafia
naval,creator_economy,m16_batch,AngelList founder, Naval Ravikant
balajis,creator_economy,m16_batch,Former Andreessen Horowitz partner
paulg,creator_economy,m16_batch,Y Combinator founder
sama,creator_economy,m16_batch,OpenAI CEO
nickcammarata,creator_economy,m16_batch,Neural network interpretability
CaseyNewton,creator_economy,m16_batch,Platformer newsletter, NYT
stratechery,creator_economy,m16_batch,Ben Thompson Stratechery newsletter
danprimack,creator_economy,m16_batch,Axios Pro Rata newsletter
TaylorLorenz,creator_economy,m16_batch,NYT tech culture reporter
